external_id,category,skill,difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_answer
"ae533b64","Reading and Writing","Command of Evidence","Medium","There Is Confusion is a 1924 novel by Jessie Redmon Fauset. In the novel, the narrator portrays the character Joanna as someone who admires ambition in other people to the exclusion of all other qualities: ______ Which quotation from There Is Confusion most effectively illustrates the claim?","""Joanna was mightily interested in people who had a `purpose' in life. Otherwise not at all.""","""Indeed from the very beginning Joanna showed her preference for her father.""","""Joanna was like her father not only so far as ambition was concerned but also in her willingness to work.""","""She had a good sense of logic, a strong power of concentration, and a remarkably retentive and visualizing memory.""","A"
"d23f1a15","Reading and Writing","Inferences","Medium","Many mosquito repellents contain natural components that work by activating multiple odor receptors on mosquitoes' antennae. As the insects develop resistance, new repellents are needed. Ke Dong and her team found that EBF, a molecular component of a chrysanthemum-flower extract, can repel mosquitoes by activating just one odor receptor--and this receptor, Or31, is present in all mosquito species known to carry diseases. Therefore, the researchers suggest that in developing new repellents, it would be most useful to ______ Which choice most logically completes the text?","identify molecular components similar to EBF that target the activation of Or31 receptors.","investigate alternative methods for extracting EBF molecules from chrysanthemums.","verify the precise locations of Or31 and other odor receptors on mosquitoes' antennae.","determine the maximum number of different odor receptors that can be activated by a single molecule.","A"
"a901c1d5","Reading and Writing","Central Ideas and Details","Medium","Choctaw/Cherokee artist Jeffrey Gibson turns punching bags used by boxers into art by decorating them with beadwork and elements of Native dressmaking. These elements include leather fringe and jingles, the metal cones that cover the dresses worn in the jingle dance, a women's dance of the Ojibwe people. Thus, Gibson combines an object commonly associated with masculinity (a punching bag) with art forms traditionally practiced by women in most Native communities (beadwork and dressmaking). In this way, he rejects the division of male and female gender roles. Which choice best describes Gibson's approach to art, as presented in the text?","He draws from traditional Native art forms to create his original works.","He has been influenced by Native and non-Native artists equally.","He finds inspiration from boxing in designing the dresses he makes.","He rejects expectations about color and pattern when incorporating beadwork.","A"
"1dc74ae7","Reading and Writing","Command of Evidence","Medium","Although most songbirds build open, cupped nests, some species build domed nests with roofs that provide much more protection. Many ecologists have assumed that domed nests would provide protection from weather conditions and thus would allow species that build them to have larger geographic ranges than species that build open nests do. To evaluate this assumption, a research team led by evolutionary biologist Iliana Medina analyzed data for over 3,000 species of songbirds. Which finding from Medina and her colleagues' study, if true, would most directly challenge the assumption in the underlined sentence?","Species that build open nests tend to have higher extinction rates than species that build domed nests.","Species that build open nests tend to be smaller in size than species that build domed nests.","Species that build open nests tend to use fewer materials to build their nests than species that build domed nests do.","Species that build open nests tend to have larger ranges than species that build domed nests.","D"
"b7c5b4e4","Reading and Writing","Central Ideas and Details","Easy","Shimmering is a collective defense behavior that researchers have observed in giant honeybee colonies. When shimmering, different groups of bees flip their bodies up and down in what looks like waves. This defense is initiated when hornets hover near a colony, serving to deter the hornets from approaching the bees. Researchers hypothesize that this behavior is a specialized defense response to hornets, as it is not observed when other, larger predators approach the colony. Which choice best states the main idea of the text?","Researchers are unsure how giant honeybees defend against predators larger than hornets.","Researchers think that shimmering in giant honeybees is a specific defense against hornets.","Hornets are known to be the main predator of giant honeybees.","Several different species of insects use shimmering to defend against hornets.","B"
"26267909","Reading and Writing","Inferences","Easy","One aspect of in-person shopping that online shopping can't replicate is the opportunity to touch a product before buying it. Does this difference matter? In an experiment, researchers asked one group of participants to touch a mug and a toy, while another group was prohibited from touching the two items. The participants were then asked how much money they'd pay for the items. People who got to touch the items were willing to pay much more money for them than were people who weren't allowed to touch the items. This finding suggests that ______ Which choice most logically completes the text?","people who mainly shop online probably spend more money every month than people who mainly shop in person do.","in-person shopping may make products seem more valuable than they seem if only viewed online.","retailers with in-person and online stores should charge the same price for a given product in both places.","online retailers may be able to raise the prices they charge for products that are only available online.","B"
"a380e0c7","Reading and Writing","Central Ideas and Details","Easy","Bicycles were first mass-produced in the late nineteenth century throughout Europe and North America, allowing individuals remarkable freedom to travel longer distances quickly and comfortably. This freedom, coupled with the affordability of the vehicle, made the bicycle immensely popular. Individuals were able to live farther from their workplaces, easily visit neighboring towns, and participate in new leisure and sport activities. Bicycling quickly became a popular social endeavor, with enthusiasts forming local cycling clubs to enjoy these newfound activities with others. Which choice best states the main idea of the text?","The widespread adoption of the bicycle in the late nineteenth century provided new opportunities for people.","The affordability of the bicycle in the late nineteenth century made it the preferred way to travel.","The popularity of the bicycle in the late nineteenth century gave rise to the first cycling clubs.","The mass production of the bicycle in the late nineteenth century made it safer for people to use.","A"
"d1dbfd19","Reading and Writing","Command of Evidence","Easy","Many trees produce growth rings as they age, with each ring in a tree's trunk representing one year in the tree's life. This often makes it fairly easy to determine how old a tree was when it was cut down. To do so, you look at the tree stump and count the dark rings you see. But a researcher claims that this method often can't be used to identify the age of olive trees. Which detail, if true, would most directly support the researcher's claim?","The oldest olive tree in the world is likely over 1,100 years old.","Narrow growth rings can suggest that an olive tree experienced harsh conditions.","Many olive trees have growth rings that are difficult to see.","Olive trees thrive in areas with hot, dry summers.","C"
"6bef385a","Reading and Writing","Central Ideas and Details","Medium","The following text is from Mark Haber's 2022 novel Saint Sebastian's Abyss. The narrator and Schmidt are both art critics. When my first wife admitted to Schmidt over dinner that she didn't find art, painting in particular, especially compelling, Schmidt winced, set down his fork, and sighed dramatically; he then excused himself, explaining an appointment he'd forgotten about had suddenly and inexplicably been remembered, while making it abundantly clear there was no appointment at all. �2022 by Mark Haber Based on the text, what is notable about Schmidt's behavior?","Schmidt is only given to theatrical behavior when in the company of the narrator and his first wife.","Schmidt's absentmindedness regarding his schedule is uncharacteristic of him.","Schmidt's departure is occasioned by the resumption of a previous disagreement with the narrator's first wife about a particular painting.","Schmidt conveys his feelings about one of his dining companions without explicitly stating them.","D"
"66a1353f","Reading and Writing","Command of Evidence","Easy","Happy House is a 1920 novel by Jane Abbott. The narrator presents a young woman as being unimpressed with the house she is visiting: ______ Which quotation from Happy House most effectively illustrates the claim?","""Her first feeling was of disappointment; in the square lines of the house there was little claim to beauty.""","""Someone had opened one of the blinds so here there was more light.""","""The door, built squarely in the middle of the house, opened almost directly upon a stone-flagged path that led in a straight line to the road.""","""She tip-toed through the hall and opened the door on the right.""","A"
"3acc2d54","Reading and Writing","Command of Evidence","Medium","""When Dawn Comes to the City"" is a 1922 poem by Claude McKay, who immigrated to the United States from the island nation of Jamaica as an adult. The poem conveys McKay's contrasting feelings about New York City--his adopted home in the US--and his home country: ______ Which quotation from ""When Dawn Comes to the City"" most effectively illustrates the claim?","""A lonely newsboy hurries by, / Humming a recent ditty; / Red streaks strike through the gray of the sky, / The dawn comes to the city [New York City].""","""Dark figures start for work; / I watch them sadly shuffle on, / 'Tis dawn, dawn in New York. / But I would be on the island of the sea, / In the heart of the island of the sea.""","""And the shaggy Nannie goat is calling, calling, calling / From her little trampled corner of the long wide lea / That stretches to the waters of the hill-stream falling / Sheer upon the flat rocks joyously!""","""The tired cars go grumbling by, / The moaning, groaning cars, / And the old milk carts go rumbling by / Under the same dull stars.""","B"
